player_id,player_name,position,age,nationality,height,foot,contract,market_value,club_id
397033,Sandro Tonali,Defensive Midfield,24,Italy,"1,81m",right,"Jun 30, 2028",€38.00m,762
206225,Isaac Hayden,Defensive Midfield,29,"England, Jamaica","1,87m",right,"Jun 30, 2026",€1.80m,762
333241,Joelinton,Central Midfield,28,Brazil,"1,86m",right,"Jun 30, 2028",€40.00m,762
340329,Joe Willock,Central Midfield,25,"England, Montserrat","1,86m",right,"Jun 30, 2027",€30.00m,762
346707,Sean Longstaff,Central Midfield,26,England,"1,87m",right,"Jun 30, 2025",€25.00m,762
922769,Lewis Miley,Central Midfield,18,England,"1,89m",right,"Jun 30, 2029",€22.00m,762
503733,Anthony Gordon,Left Winger,23,England,"1,83m",right,"Jun 30, 2026",€60.00m,762
398065,Harvey Barnes,Left Winger,26,"England, Scotland","1,82m",right,"Jun 30, 2028",€35.00m,762
967948,Garang Kuol,Left Winger,20,"Australia, Southern Sudan","1,75m",right,"Jun 30, 2026",€600k,762
272999,Miguel Almirón,Right Winger,30,Paraguay,"1,74m",left,"Jun 30, 2026",€20.00m,762
199527,Jacob Murphy,Right Winger,29,"England, Ireland","1,79m",right,"Jun 30, 2027",€15.00m,762
349066,Alexander Isak,Centre-Forward,25,"Sweden, Eritrea","1,92m",right,"Jun 30, 2028",€75.00m,762
123682,Callum Wilson,Centre-Forward,32,England,"1,80m",right,"Jun 30, 2025",€13.00m,762
609556,William Osula,Centre-Forward,21,"Denmark, England","1,86m",right,"Jun 30, 2029",€3.00m,762
111873,Emiliano Martínez,Goalkeeper,32,"Argentina, Spain","1,95m",right,"Jun 30, 2029",€28.00m,405
591844,Joe Gauci,Goalkeeper,24,"Australia, New Zealand","1,94m",right,"Jun 30, 2028",€1.50m,405
75458,Robin Olsen,Goalkeeper,34,"Sweden, Denmark","1,96m",right,"Jun 30, 2025",€1.50m,405
399776,Pau Torres,Centre-Back,27,Spain,"1,92m",left,"Jun 30, 2028",€45.00m,405
413403,Ezri Konsa,Centre-Back,26,"England, DR Congo","1,83m",right,"Jun 30, 2028",€35.00m,405
329145,Diego Carlos,Centre-Back,31,"Brazil, Spain","1,85m",right,"Jun 30, 2026",€16.00m,405
253677,Tyrone Mings,Centre-Back,31,England,"1,96m",left,"Jun 30, 2026",€13.00m,405
233124,Kortney Hause,Centre-Back,29,"England, Bermuda","1,91m",left,"Jun 30, 2025",€2.00m,405
645686,Lamare Bogarde,Centre-Back,20,"Netherlands, Suriname","1,85m",right,N/A,€450k,405
485585,Ian Maatsen,Left-Back,22,"Netherlands, Suriname","1,78m",left,"Jun 30, 2030",€40.00m,405
126664,Lucas Digne,Left-Back,31,France,"1,78m",left,"Jun 30, 2026",€12.00m,405
425334,Matty Cash,Right-Back,27,"Poland, England","1,85m",right,"Jun 30, 2027",€28.00m,405
848682,Kosta Nedeljkovic,Right-Back,18,Serbia,"1,84m",right,"Jun 30, 2029",€8.00m,405
485706,Amadou Onana,Defensive Midfield,23,"Belgium, Senegal","1,95m",right,"Jun 30, 2029",€50.00m,405
394327,Boubacar Kamara,Defensive Midfield,24,"France, Senegal","1,84m",right,"Jun 30, 2027",€38.00m,405
193116,John McGinn,Central Midfield,29,Scotland,"1,78m",left,"Jun 30, 2027",€30.00m,405
249565,Youri Tielemans,Central Midfield,27,"Belgium, DR Congo","1,77m",right,"Jun 30, 2027",€25.00m,405
131978,Ross Barkley,Central Midfield,30,England,"1,89m",right,N/A,€8.00m,405
503749,Jacob Ramsey,Attacking Midfield,23,England,"1,80m",right,"Jun 30, 2027",€35.00m,405
321247,Emiliano Buendía,Attacking Midfield,27,"Argentina, Spain","1,72m",right,"Jun 30, 2026",€22.00m,405
503743,Morgan Rogers,Attacking Midfield,22,England,"1,87m",right,"Jun 30, 2029",€15.00m,405
665390,Jaden Philogene,Left Winger,22,"England, Dominica","1,81m",right,"Jun 30, 2029",€15.00m,405
387626,Leon Bailey,Right Winger,27,Jamaica,"1,78m",left,"Jun 30, 2027",€42.00m,405
324358,Ollie Watkins,Centre-Forward,28,England,"1,80m",right,"Jun 30, 2028",€65.00m,405
649317,Jhon Durán,Centre-Forward,20,Colombia,"1,85m",left,"Jun 30, 2028",€20.00m,405
565093,Bart Verbruggen,Goalkeeper,22,Netherlands,"1,94m",right,"Jun 30, 2028",€18.00m,1237
73564,Jason Steele,Goalkeeper,34,England,"1,88m",right,"Jun 30, 2026",€3.50m,1237
212847,Adam Webster,Centre-Back,29,England,"1,90m",right,"Jun 30, 2026",€20.00m,1237
576314,Jan Paul van Hecke,Centre-Back,24,Netherlands,"1,89m",right,"Jun 30, 2027",€18.00m,1237
380350,Igor,Centre-Back,26,Brazil,"1,88m",left,"Jun 30, 2027",€17.00m,1237
148153,Lewis Dunk,Centre-Back,32,England,"1,92m",right,"Jun 30, 2026",€12.00m,1237
369316,Ferdi Kadıoğlu,Left-Back,24,"Türkiye, Netherlands","1,74m",right,"Jun 30, 2028",€30.00m,1237
349599,Pervis Estupiñán,Left-Back,26,"Ecuador, Spain","1,75m",left,"Jun 30, 2027",€30.00m,1237
565846,Imari Samuels,Left-Back,21,"England, Nigeria","1,87m",left,"Jun 30, 2025",€100k,1237
